C000	BOOTBLOCKTABLE
C00B	BOOT1BLOCK
C016	BOOT1
CEF6	BOOT1BPAT
F000	MIDASCODE
F0EC	MIDASRETURNPOINT
F126	TRAPENCOUNTERED
F248	MIDASSETUP
F262	INHIBITMIDAS
F267	ENABLEMIDAS
F2A2	RESETCODE
F2CF	UPDATETIMER
F418	REBOOTDORADO
F4BA	DELAY
F4E7	SETPROBLEM
F4EC	CLEARPROBLEM
F4F3	CONTINUOUSCODE
F50B	SPIN
F560	ONCEONLY
F59F	CHECKBOOTBUTTON
F68B	PACIFYWATCHDOGIFJUMPER
F692	PACIFYWATCHDOG
F6A9	MUFFLERTABLE
F6DF	THERMOMMUFADDR
F6F5	ANALOGCODE
F705	INITENVIRONMENT
F721	DOALLCONVERSIONS
F74C	VOLTAGECONVERSIONS
F76D	VICONVSETUP
F77A	CURRENTCONVERSIONS
F7BC	DOCURRENTCONVERSION
F7CB	TEMPERATURECONVERSIONS
F83B	ADCONVERT
F86F	SETCPREG~
F87E	SETCPREG
F886	SETCPREG1
F88E	DOCLOCK
F895	SETCPREG0
F89C	DOCONTROL
F8AC	READBNIBBLE
F8C0	RUNDORADOINSTRUCTIONSTREAM
F8CC	DODORADOMICROINST
F948	STOPDORADO
F95A	SETMANIFOLD
F977	DATUMTOMANIFOLD
F986	READMUFFLER
F99B	READMUFFLERFIELD
F9D0	SETMUFFLERADDRESS
FA0E	TRYGETTINGMUFMANCONTROL
FA1F	WAITFORCPCONTROL
FA57	LEFT7
FA5A	LEFT6
FA5D	LEFT5
FA60	LEFT4
FA63	LEFT3
FA66	LEFT2
FA69	LEFT1
FA6D	BOOTCODE
FA77	CPREGTOLINK#
FA7C	IMLHRSTK.0IS0#
FA81	IMLHRSTK.0IS1#
FA86	IMRHBLOCKIS0#
FA8B	IMRHBLOCKIS1#
FA90	RETURN#
FA95	QFROMCPREG#
FA9F	ALUFM[0]FROMQ#
FAA9	SETHOLDTASKSIM#
FAAE	LOADDORADOCODE
FB4A	STARTDORADOATINITMAP
FB94	SETCP~ANDDOIRTABLEINST
FBA3	SETCPANDDOIRTABLEINST
FBB7	DOIRTABLEINST
FBCB	SENDIMBLOCKTODORADO
FC5E	SENDAHUNK
FCFD	SENDVIAMIR
FE00	BOOT0
